u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
42429633,42429630,0,"[1068067608, 1068067609, 46165807]",Murray Street,residential,25 mph,False,"[False, True]",103.31700000000001,"LINESTRING (-74.0164449 40.7162867, -74.0164018 40.7162814, -74.016373 40.7162759, -74.0163497 40.7162693, -74.0163304 40.7162605, -74.0161737 40.7161886, -74.0157694 40.7160031, -74.0157203 40.7159813, -74.0155378 40.7158968, -74.0155049 40.7158827, -74.0153827 40.7158297)",2,,,,,,
42429636,42451650,0,414894542,Division Street,secondary,25 mph,True,False,17.07,"LINESTRING (-73.9939355 40.7142862, -73.9941371 40.7142715)",2,,,,,,
42429636,7480410410,0,127691871,Eldridge Street,residential,25 mph,True,False,127.50699999999999,"LINESTRING (-73.9939355 40.7142862, -73.99393 40.7143161, -73.9939172 40.7143556, -73.9934559 40.7152458, -73.9934335 40.7152892, -73.9933988 40.7153571)",1,,,,,,
42429641,3212472963,0,5671341,Hester Street,residential,25 mph,True,False,69.585,"LINESTRING (-73.9928237 40.7164855, -73.9927605 40.7164666, -73.9921307 40.7162779, -73.9920566 40.7162541)",1,,,,,,
42429641,42429643,0,127691872,Eldridge Street,residential,25 mph,True,False,141.07500000000002,"LINESTRING (-73.9928237 40.7164855, -73.9927997 40.7165324, -73.9922566 40.7175911, -73.9922172 40.717668)",,,,,,,
42429643,42429644,0,127691872,Eldridge Street,residential,25 mph,True,False,109.18599999999999,"LINESTRING (-73.9922172 40.717668, -73.9921802 40.7177404, -73.9917736 40.7185357, -73.9917491 40.7185836)",,,,,,,
42429643,42437996,0,226041016,Grand Street,secondary,25 mph,False,False,69.475,"LINESTRING (-73.9922172 40.717668, -73.9921561 40.7176495, -73.9915268 40.7174587, -73.991452 40.7174356)",,,,,,,
42429643,42451660,0,226041016,Grand Street,secondary,25 mph,False,True,79.208,"LINESTRING (-73.9922172 40.717668, -73.9922899 40.71769, -73.9929966 40.7179043, -73.9930898 40.7179326)",,,,,,,
42429644,42432108,0,848016982,Broome Street,residential,25 mph,True,False,69.62,"LINESTRING (-73.9917491 40.7185836, -73.9916832 40.7185637, -73.9910591 40.7183739, -73.9909824 40.7183505)",,,,,,,
42429644,486867405,0,1156474000,Eldridge Street,residential,25 mph,True,False,99.796,"LINESTRING (-73.9917491 40.7185836, -73.9917197 40.7186413, -73.9913919 40.719282, -73.9913718 40.7193214, -73.9913214 40.7194205)",,,,,,,
