osmid,y,x,highway,street_count,ref,geometry
42448726,40.7853453,-73.9576355,traffic_signals,3,,POINT (-73.9576355 40.7853453)
42448729,40.7839462,-73.9543201,traffic_signals,4,,POINT (-73.9543201 40.7839462)
42448735,40.7826302,-73.9511964,traffic_signals,4,,POINT (-73.9511964 40.7826302)
42448745,40.7806943,-73.9465727,traffic_signals,4,,POINT (-73.9465727 40.7806943)
42448811,40.755903,-73.9748081,traffic_signals,4,,POINT (-73.9748081 40.755903)
42448813,40.7545735,-73.9716835,traffic_signals,4,,POINT (-73.9716835 40.7545735)
42448930,40.860657,-73.9273,traffic_signals,4,,POINT (-73.9273 40.860657)
42448979,40.8083381,-73.9408517,traffic_signals,4,,POINT (-73.9408517 40.8083381)
42448996,40.7607173,-74.0020745,traffic_signals,3,,POINT (-74.0020745 40.7607173)
42449005,40.7871732,-73.9519286,traffic_signals,4,,POINT (-73.9519286 40.7871732)
42449007,40.7858875,-73.9488279,traffic_signals,4,,POINT (-73.9488279 40.7858875)
42449010,40.7839383,-73.9442196,traffic_signals,4,,POINT (-73.9442196 40.7839383)
42449017,40.7301371,-73.9894794,traffic_signals,4,,POINT (-73.9894794 40.7301371)
42449021,40.728194,-73.984875,traffic_signals,4,,POINT (-73.984875 40.728194)
42449023,40.727261,-73.982657,traffic_signals,3,,POINT (-73.982657 40.727261)
42449027,40.726281,-73.980333,traffic_signals,3,,POINT (-73.980333 40.726281)
42449029,40.7252889,-73.9779731,traffic_signals,4,,POINT (-73.9779731 40.7252889)
42449038,40.724283,-73.975598,,3,,POINT (-73.975598 40.724283)
42449045,40.732165,-73.994297,traffic_signals,4,,POINT (-73.994297 40.732165)
42449067,40.7340457,-73.9950635,traffic_signals,4,,POINT (-73.9950635 40.7340457)
42449076,40.7362021,-74.0035332,traffic_signals,4,,POINT (-74.0035332 40.7362021)
42449089,40.7355248,-74.0083743,traffic_signals,4,,POINT (-74.0083743 40.7355248)
42449098,40.7352967,-74.0099722,traffic_signals,3,,POINT (-74.0099722 40.7352967)
42449127,40.8263304,-73.9384423,traffic_signals,4,,POINT (-73.9384423 40.8263304)
42449139,40.8272084,-73.9366522,,3,,POINT (-73.9366522 40.8272084)
42449163,40.834536,-73.938965,,3,,POINT (-73.938965 40.834536)
42449166,40.835196,-73.938489,,3,,POINT (-73.938489 40.835196)
42449187,40.7808503,-73.9609089,traffic_signals,4,,POINT (-73.9609089 40.7808503)
42449308,40.7457757,-73.9822189,traffic_signals,4,,POINT (-73.9822189 40.7457757)
42449314,40.7444458,-73.9790592,traffic_signals,4,,POINT (-73.9790592 40.7444458)
42449333,40.7373314,-73.9926537,traffic_signals,4,,POINT (-73.9926537 40.7373314)
42449341,40.74347,-74.007238,traffic_signals,4,,POINT (-74.007238 40.74347)
42449413,40.7967023,-73.9449726,traffic_signals,4,,POINT (-73.9449726 40.7967023)
42449422,40.7954069,-73.9418755,traffic_signals,4,,POINT (-73.9418755 40.7954069)
42449427,40.7934601,-73.9372637,traffic_signals,3,,POINT (-73.9372637 40.7934601)
42449515,40.7919574,-73.9248422,,3,,POINT (-73.9248422 40.7919574)
42449550,40.766548,-73.9904253,traffic_signals,4,,POINT (-73.9904253 40.766548)
42449570,40.721252,-74.001447,traffic_signals,4,,POINT (-74.001447 40.721252)
42449576,40.724632,-73.998585,traffic_signals,4,,POINT (-73.998585 40.724632)
42449580,40.72881,-73.995061,,4,,POINT (-73.995061 40.72881)
42449582,40.729406,-73.994547,,4,,POINT (-73.994547 40.729406)
42449589,40.7309542,-73.9932433,,3,,POINT (-73.9932433 40.7309542)
42449593,40.867633,-73.916588,,3,,POINT (-73.916588 40.867633)
42449597,40.7143576,-74.008378,traffic_signals,4,,POINT (-74.008378 40.7143576)
42449600,40.7149648,-74.0097093,traffic_signals,4,,POINT (-74.0097093 40.7149648)
42449613,40.7164234,-74.0129331,traffic_signals,4,,POINT (-74.0129331 40.7164234)
42449627,40.8453,-73.938262,traffic_signals,4,,POINT (-73.938262 40.8453)
42449631,40.847249,-73.936857,traffic_signals,4,,POINT (-73.936857 40.847249)
42449634,40.8478794,-73.9363969,traffic_signals,4,,POINT (-73.9363969 40.8478794)
42449637,40.8485206,-73.9359288,traffic_signals,4,,POINT (-73.9359288 40.8485206)
42449639,40.850417,-73.934544,traffic_signals,4,,POINT (-73.934544 40.850417)
42449641,40.851615,-73.933667,traffic_signals,4,,POINT (-73.933667 40.851615)
